                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1117,                 3.4382,                 4.1737,                0.00472,                0.68154,                0.09152,                0.03073,                 2.7819,                 3.4272,                 4.1147,                0.00056,                0.00056,                0.00056
                      2,                   3.11,                 3.3416,                 3.9883,                0.00444,                 0.6731,                0.04756,                0.01494,                 2.7867,                 3.4066,                 3.8238,              0.0011174,              0.0011174,              0.0011174
                      3,                 3.0109,                 3.2496,                 3.7174,                0.00674,                0.66224,                0.04001,                 0.0125,                 3.3613,                 3.5997,                 4.7089,              0.0016519,              0.0016519,              0.0016519
                      4,                 2.8808,                 3.1922,                 3.4973,                0.07293,                0.28951,                0.04488,                0.01468,                 2.7923,                 4.3933,                 3.6374,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.7253,                 3.1345,                 3.2919,                 0.1091,                 0.2123,                0.06383,                0.01787,                 2.6576,                 3.6626,                 3.5017,              0.0018812,              0.0018812,              0.0018812
                      6,                 2.5932,                 3.0657,                 3.1612,                0.10663,                0.14829,                0.05207,                0.02016,                 2.7725,                 3.2798,                 3.7747,              0.0018416,              0.0018416,              0.0018416
                      7,                 2.5654,                 2.9937,                 3.0933,                0.13733,                0.16767,                0.06203,                0.01778,                 2.6264,                 3.1543,                 3.5584,               0.001802,               0.001802,               0.001802
                      8,                   2.48,                  2.924,                 3.0033,                0.14228,                0.12545,                0.07698,                0.02266,                 2.3851,                 2.9616,                  3.288,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.4533,                 2.8058,                 2.9484,                0.17822,                 0.4041,                0.16598,                0.05878,                 2.3494,                 2.8668,                 3.0571,              0.0017228,              0.0017228,              0.0017228
                     10,                  2.412,                 2.7523,                 2.9138,                0.21875,                0.39445,                 0.1657,                0.05521,                 2.2348,                  3.039,                 2.9153,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.3667,                 2.6761,                 2.8729,                0.17934,                0.40772,                0.13987,                0.04922,                 2.1794,                 2.8658,                 2.8447,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.3044,                 2.5463,                 2.7659,                0.19382,                0.31436,                0.13053,                0.04828,                 2.2375,                 2.7401,                 2.8831,               0.001604,               0.001604,               0.001604
                     13,                 2.2602,                 2.5235,                 2.7342,                0.25336,                0.33293,                0.19832,                0.08491,                 2.1638,                 2.8071,                 2.7803,              0.0015644,              0.0015644,              0.0015644
